station_id,date,time_utc,lat,lng,rainfall,temp,temp_max,temp_min,state,url_hash
PUZHAL,24-Aug-2014,12:00:00,13.2,80.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
RADHAPURAM,24-Aug-2014,12:00:00,8.3,77.7,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
RAJAPALAYAM,24-Aug-2014,12:00:00,9.5,77.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
RASIPURAM,24-Aug-2014,12:00:00,11.4,78.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SANKARANKOIL,24-Aug-2014,12:00:00,9.2,77.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SIVAKASI,24-Aug-2014,12:00:00,9.2,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
TARAMANI,24-Aug-2014,12:00:00,13,80.2,0,30.5,32.8,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
THIRUMAYAM,24-Aug-2014,12:00:00,10.2,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
TIRUVALLUR,24-Aug-2014,12:00:00,13.1,79.9,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
THURAIYUR,24-Aug-2014,12:00:00,11.1,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VADIPATTI,24-Aug-2014,12:00:00,10.1,78,0,32.7,36.4,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VRIDDHACHALAM,24-Aug-2014,12:00:00,11.5,79.3,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
YELAGIRI HILL,24-Aug-2014,12:00:00,12.6,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ARANI,24-Aug-2014,12:00:00,12.7,79.3,1,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
DENKANIKOTTAI,24-Aug-2014,12:00:00,12.5,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
R K PET,24-Aug-2014,12:00:00,13.2,79.4,1,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SATHYABAMA UNIVERSITY,24-Aug-2014,12:00:00,12.9,80.2,0,30.5,34.2,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SENTHURAI,24-Aug-2014,12:00:00,11.2,79.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ANNA UNIVERSITY,24-Aug-2014,11:00:00,14,80.2,0,31.6,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ARANI,24-Aug-2014,11:00:00,12.7,79.3,1,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ANDIPATTI,24-Aug-2014,11:00:00,10,77.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
BODINAYAKANUR,24-Aug-2014,11:00:00,10,77.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEYYUR_ARG,24-Aug-2014,11:00:00,11.4,71,0,31.1,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEYYAR_ARG,24-Aug-2014,11:00:00,12.7,79.5,0,34.2,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEMBARAMBAKKAM,24-Aug-2014,11:00:00,13,80.1,0,33.2,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHETTYKULAM,24-Aug-2014,11:00:00,11.1,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
DHARAPURAM,24-Aug-2014,11:00:00,10.7,77.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
DENKANIKOTTAI,24-Aug-2014,11:00:00,12.5,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
GOBICHETTY PALAYAM,24-Aug-2014,11:00:00,11.4,77.4,0,32,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
GRAND ANICUT,24-Aug-2014,11:00:00,10.8,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
HINDUSTAN UNIVERSITY,24-Aug-2014,11:00:00,12.8,81,0,30.3,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
JAYANKONDAM,24-Aug-2014,11:00:00,11.2,79.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KAYATHAR,24-Aug-2014,11:00:00,9,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KARUMANDURAI,24-Aug-2014,11:00:00,11.8,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KULITHALAI,24-Aug-2014,11:00:00,10.9,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOLLIDAM,24-Aug-2014,11:00:00,11.3,79.7,0,33,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KAMUDHI,24-Aug-2014,11:00:00,9.4,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOLLIMALAI,24-Aug-2014,11:00:00,11.3,78.3,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KVK KATTUPAKKAM,24-Aug-2014,11:00:00,12.8,80,0,32.5,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOMARAPALAYAM,24-Aug-2014,11:00:00,11.4,77.7,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KUDAVASAL,24-Aug-2014,11:00:00,10.8,79.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
LALPET,24-Aug-2014,11:00:00,11.3,79.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
LMOIS KOLAPAKKAM,24-Aug-2014,11:00:00,13,80.1,0,32.4,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MANAPARAI,24-Aug-2014,11:00:00,10.6,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MELUR,24-Aug-2014,11:00:00,10,78.3,,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MANALMEDU,24-Aug-2014,11:00:00,11.2,79.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MUTHUPETTAI,24-Aug-2014,11:00:00,10.4,79.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
NAGARCOIL,24-Aug-2014,11:00:00,8.2,77.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
PALACODE,24-Aug-2014,11:00:00,12.3,78.1,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
P N PALAYAM,24-Aug-2014,11:00:00,11.2,76.9,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
POONAMALLEE,24-Aug-2014,11:00:00,13,80.1,0,33.8,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
PUZHAL,24-Aug-2014,11:00:00,13.2,80.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
RADHAPURAM,24-Aug-2014,11:00:00,8.3,77.7,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
R K PET,24-Aug-2014,11:00:00,13.2,79.4,1,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
RAJAPALAYAM,24-Aug-2014,11:00:00,9.5,77.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SANKARANKOIL,24-Aug-2014,11:00:00,9.2,77.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SATHYABAMA UNIVERSITY,24-Aug-2014,11:00:00,12.9,80.2,0,31.6,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SENTHURAI,24-Aug-2014,11:00:00,11.2,79.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SIVAKASI,24-Aug-2014,11:00:00,9.2,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
TARAMANI,24-Aug-2014,11:00:00,13,80.2,0,31.5,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
THIRUKOILUR_ARG,24-Aug-2014,11:00:00,12,79.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
THIRUMAYAM,24-Aug-2014,11:00:00,10.2,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
TIRUVALLUR,24-Aug-2014,11:00:00,13.1,79.9,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
THURAIYUR,24-Aug-2014,11:00:00,11.1,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VADIPATTI,24-Aug-2014,11:00:00,10.1,78,0,33.9,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VANIYAMBADI,24-Aug-2014,11:00:00,12.7,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VRIDDHACHALAM,24-Aug-2014,11:00:00,11.5,79.3,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VAZHAPADI,24-Aug-2014,11:00:00,11.6,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
YELAGIRI HILL,24-Aug-2014,11:00:00,12.6,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
HVF AVADI,24-Aug-2014,11:00:00,13.1,80.1,0,33.5,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KALLAKURICHI,24-Aug-2014,11:00:00,11.7,79,0,34.6,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ANNA UNIVERSITY,24-Aug-2014,10:00:00,14,80.2,0,30.8,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ARANI,24-Aug-2014,10:00:00,12.7,79.3,1,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ANDIPATTI,24-Aug-2014,10:00:00,10,77.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
HVF AVADI,24-Aug-2014,10:00:00,13.1,80.1,0,33.2,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
BODINAYAKANUR,24-Aug-2014,10:00:00,10,77.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEYYUR_ARG,24-Aug-2014,10:00:00,11.4,71,0,31.8,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEYYAR_ARG,24-Aug-2014,10:00:00,12.7,79.5,0,34.8,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEMBARAMBAKKAM,24-Aug-2014,10:00:00,13,80.1,0,33.7,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHETTYKULAM,24-Aug-2014,10:00:00,11.1,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
DHARAPURAM,24-Aug-2014,10:00:00,10.7,77.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
DENKANIKOTTAI,24-Aug-2014,10:00:00,12.5,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
DEVALA,24-Aug-2014,10:00:00,11.5,76.4,6,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
GOBICHETTY PALAYAM,24-Aug-2014,10:00:00,11.4,77.4,0,32.4,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
HINDUSTAN UNIVERSITY,24-Aug-2014,10:00:00,12.8,81,0,30.8,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
JAYANKONDAM,24-Aug-2014,10:00:00,11.2,79.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KAYATHAR,24-Aug-2014,10:00:00,9,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KARUMANDURAI,24-Aug-2014,10:00:00,11.8,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KULITHALAI,24-Aug-2014,10:00:00,10.9,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOLLIDAM,24-Aug-2014,10:00:00,11.3,79.7,0,33.3,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KAMUDHI,24-Aug-2014,10:00:00,9.4,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOLLIMALAI,24-Aug-2014,10:00:00,11.3,78.3,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KALLAKURICHI,24-Aug-2014,10:00:00,11.7,79,0,34.2,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KVK KATTUPAKKAM,24-Aug-2014,10:00:00,12.8,80,0,33.5,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOMARAPALAYAM,24-Aug-2014,10:00:00,11.4,77.7,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KUDAVASAL,24-Aug-2014,10:00:00,10.8,79.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
LALPET,24-Aug-2014,10:00:00,11.3,79.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
LMOIS KOLAPAKKAM,24-Aug-2014,10:00:00,13,80.1,0,34.9,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MANAPARAI,24-Aug-2014,10:00:00,10.6,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MANAMADURAI,24-Aug-2014,10:00:00,9.7,78.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MANALMEDU,24-Aug-2014,10:00:00,11.2,79.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MUTHUPETTAI,24-Aug-2014,10:00:00,10.4,79.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
NAGARCOIL,24-Aug-2014,10:00:00,8.2,77.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
PALACODE,24-Aug-2014,10:00:00,12.3,78.1,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
P N PALAYAM,24-Aug-2014,10:00:00,11.2,76.9,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
POONAMALLEE,24-Aug-2014,10:00:00,13,80.1,0,34.2,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
RADHAPURAM,24-Aug-2014,10:00:00,8.3,77.7,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
R K PET,24-Aug-2014,10:00:00,13.2,79.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
RAJAPALAYAM,24-Aug-2014,10:00:00,9.5,77.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
RASIPURAM,24-Aug-2014,10:00:00,11.4,78.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SANKARANKOIL,24-Aug-2014,10:00:00,9.2,77.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SATHYABAMA UNIVERSITY,24-Aug-2014,10:00:00,12.9,80.2,0,31.8,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SENTHURAI,24-Aug-2014,10:00:00,11.2,79.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SIVAKASI,24-Aug-2014,10:00:00,9.2,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
TARAMANI,24-Aug-2014,10:00:00,13,80.2,0,31.5,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
THIRUKOILUR_ARG,24-Aug-2014,10:00:00,12,79.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
THIRUMAYAM,24-Aug-2014,10:00:00,10.2,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
TIRUVALLUR,24-Aug-2014,10:00:00,13.1,79.9,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
THURAIYUR,24-Aug-2014,10:00:00,11.1,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VADIPATTI,24-Aug-2014,10:00:00,10.1,78,0,34.7,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VANIYAMBADI,24-Aug-2014,10:00:00,12.7,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VRIDDHACHALAM,24-Aug-2014,10:00:00,11.5,79.3,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VAZHAPADI,24-Aug-2014,10:00:00,11.6,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
YELAGIRI HILL,24-Aug-2014,10:00:00,12.6,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VALINOKKAM,24-Aug-2014,10:00:00,9.2,78.6,0,30.8,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
GRAND ANICUT,24-Aug-2014,10:00:00,10.8,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MELUR,24-Aug-2014,10:00:00,10,78.3,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ORATHANADU,24-Aug-2014,10:00:00,10.6,79.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
POCHAMPALLI,24-Aug-2014,10:00:00,12.3,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ANNA UNIVERSITY,24-Aug-2014,09:00:00,14,80.2,0,32.1,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ARANI,24-Aug-2014,09:00:00,12.7,79.3,1,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ANDIPATTI,24-Aug-2014,09:00:00,10,77.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
HVF AVADI,24-Aug-2014,09:00:00,13.1,80.1,0,33.2,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
BODINAYAKANUR,24-Aug-2014,09:00:00,10,77.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEYYUR_ARG,24-Aug-2014,09:00:00,11.4,71,0,32,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEYYAR_ARG,24-Aug-2014,09:00:00,12.7,79.5,0,34.8,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEMBARAMBAKKAM,24-Aug-2014,09:00:00,13,80.1,0,33.7,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHETTYKULAM,24-Aug-2014,09:00:00,11.1,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
DHARAPURAM,24-Aug-2014,09:00:00,10.7,77.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
DENKANIKOTTAI,24-Aug-2014,09:00:00,12.5,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
GOBICHETTY PALAYAM,24-Aug-2014,09:00:00,11.4,77.4,0,31.9,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
GRAND ANICUT,24-Aug-2014,09:00:00,10.8,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
JAYANKONDAM,24-Aug-2014,09:00:00,11.2,79.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KAYATHAR,24-Aug-2014,09:00:00,9,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KARUMANDURAI,24-Aug-2014,09:00:00,11.8,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KULITHALAI,24-Aug-2014,09:00:00,10.9,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KAMUDHI,24-Aug-2014,09:00:00,9.4,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOLLIMALAI,24-Aug-2014,09:00:00,11.3,78.3,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KALLAKURICHI,24-Aug-2014,09:00:00,11.7,79,0,33.8,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KVK KATTUPAKKAM,24-Aug-2014,09:00:00,12.8,80,0,34.3,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOMARAPALAYAM,24-Aug-2014,09:00:00,11.4,77.7,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KUDAVASAL,24-Aug-2014,09:00:00,10.8,79.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
LALPET,24-Aug-2014,09:00:00,11.3,79.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
LMOIS KOLAPAKKAM,24-Aug-2014,09:00:00,13,80.1,0,34.3,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MANAPARAI,24-Aug-2014,09:00:00,10.6,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MELUR,24-Aug-2014,09:00:00,10,78.3,,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MANAMADURAI,24-Aug-2014,09:00:00,9.7,78.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MANALMEDU,24-Aug-2014,09:00:00,11.2,79.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
MUTHUPETTAI,24-Aug-2014,09:00:00,10.4,79.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
NAGARCOIL,24-Aug-2014,09:00:00,8.2,77.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
PALACODE,24-Aug-2014,09:00:00,12.3,78.1,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
P N PALAYAM,24-Aug-2014,09:00:00,11.2,76.9,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
POONAMALLEE,24-Aug-2014,09:00:00,13,80.1,0,33.7,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
PUZHAL,24-Aug-2014,09:00:00,13.2,80.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
RADHAPURAM,24-Aug-2014,09:00:00,8.3,77.7,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
RAJAPALAYAM,24-Aug-2014,09:00:00,9.5,77.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
RASIPURAM,24-Aug-2014,09:00:00,11.4,78.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SANKARANKOIL,24-Aug-2014,09:00:00,9.2,77.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SATHYABAMA UNIVERSITY,24-Aug-2014,09:00:00,12.9,80.2,0,32.8,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SENTHURAI,24-Aug-2014,09:00:00,11.2,79.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
SIVAKASI,24-Aug-2014,09:00:00,9.2,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
TARAMANI,24-Aug-2014,09:00:00,13,80.2,0,32.4,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
THIRUKOILUR_ARG,24-Aug-2014,09:00:00,12,79.2,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
THIRUMAYAM,24-Aug-2014,09:00:00,10.2,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
TIRUVALLUR,24-Aug-2014,09:00:00,13.1,79.9,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
THURAIYUR,24-Aug-2014,09:00:00,11.1,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VADIPATTI,24-Aug-2014,09:00:00,10.1,78,0,34.4,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VANIYAMBADI,24-Aug-2014,09:00:00,12.7,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VRIDDHACHALAM,24-Aug-2014,09:00:00,11.5,79.3,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VAZHAPADI,24-Aug-2014,09:00:00,11.6,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VALINOKKAM,24-Aug-2014,09:00:00,9.2,78.6,0,30.7,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
HINDUSTAN UNIVERSITY,24-Aug-2014,09:00:00,12.8,81,0,31.4,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOLLIDAM,24-Aug-2014,09:00:00,11.3,79.7,0,33.4,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
POCHAMPALLI,24-Aug-2014,09:00:00,12.3,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
YELAGIRI HILL,24-Aug-2014,09:00:00,12.6,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
VEPPANTHATTAI,24-Aug-2014,09:00:00,11.3,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ANNA UNIVERSITY,24-Aug-2014,08:00:00,14,80.2,0,31.4,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ARANI,24-Aug-2014,08:00:00,12.7,79.3,1,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
ANDIPATTI,24-Aug-2014,08:00:00,10,77.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
HVF AVADI,24-Aug-2014,08:00:00,13.1,80.1,0,33.1,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
BODINAYAKANUR,24-Aug-2014,08:00:00,10,77.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEYYUR_ARG,24-Aug-2014,08:00:00,11.4,71,0,32,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEYYAR_ARG,24-Aug-2014,08:00:00,12.7,79.5,0,34.2,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHEMBARAMBAKKAM,24-Aug-2014,08:00:00,13,80.1,0,33.7,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
CHETTYKULAM,24-Aug-2014,08:00:00,11.1,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
DHARAPURAM,24-Aug-2014,08:00:00,10.7,77.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
DENKANIKOTTAI,24-Aug-2014,08:00:00,12.5,77.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
DEVALA,24-Aug-2014,08:00:00,11.5,76.4,6,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
GRAND ANICUT,24-Aug-2014,08:00:00,10.8,78.8,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
JAYANKONDAM,24-Aug-2014,08:00:00,11.2,79.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KARUMANDURAI,24-Aug-2014,08:00:00,11.8,78.6,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KULITHALAI,24-Aug-2014,08:00:00,10.9,78.4,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOLLIDAM,24-Aug-2014,08:00:00,11.3,79.7,0,32.3,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOLLIMALAI,24-Aug-2014,08:00:00,11.3,78.3,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KALLAKURICHI,24-Aug-2014,08:00:00,11.7,79,0,33.3,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KVK KATTUPAKKAM,24-Aug-2014,08:00:00,12.8,80,0,33.1,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KOMARAPALAYAM,24-Aug-2014,08:00:00,11.4,77.7,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
KUDAVASAL,24-Aug-2014,08:00:00,10.8,79.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
LALPET,24-Aug-2014,08:00:00,11.3,79.5,0,,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
LMOIS KOLAPAKKAM,24-Aug-2014,08:00:00,13,80.1,0,32.4,,,25,9f7fc9c266ad21bdfdf121f9fe858b3c
